repository	accession	title	organism	tissue	platform	raw_available	processed_available	source_query	project_relevance_hint	paper_link_candidate	promotion_ready
arrayexpress	E-MTAB-14267	ATAC-seq of primary human airway smooth muscle cells from 4 donors				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-10794	RNA-seq of mouse skeletal muscle samples				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-8553	FloChIP TF benchmarking data				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1146057	HE_3			RNASeq	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX911461	CCX202304			RNASeq	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX658741	2020D20yxhA34_X8_2			RNASeq	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1596740	AP			RNASeq	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064720	F2100227			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064735	F2100242			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064751	F2100258			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064755	F2100262			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064771	F2100278			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064821	F2100338			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064823	F2100340			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064836	F2100356			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064842	F2100364			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064860	F2100384			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064898	F2100424			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
